Cocktail Name,Ingredients,Preparation,Image
155 Belmont,"Orange juice, Vodka, Light rum, Dark rum, ",Blend with ice. Serve in a wine glass. Garnish with carrot.,https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg
1-900-FUK-MEUP,"Pineapple juice, Cranberry juice, Amaretto, Malibu rum, Midori melon liqueur, Chambord raspberry liqueur, Grand Marnier, Absolut Kurant, ",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,https://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg
110 in the shade,"Tequila, Lager, ",Drop shooter in glass. Fill with beer,https://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg
151 Florida Bushwacker,"Vanilla ice-cream, Coconut liqueur, Milk, Cointreau, Dark Creme de Cacao, 151 proof rum, Light rum, Malibu rum, ",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,https://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg
252,"Wild Turkey, 151 proof rum, ","Add both ingredients to shot glass, shoot, and get drunk quick",https://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg
24k nightmare,"151 proof rum, Rumple Minze, Jägermeister, Goldschlager, ","Add over ice,shake and pour.",https://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg
3 Wise Men,"Jim Beam, Johnnie Walker, Jack Daniels, ",put them them in a glass... and slam it to tha head.,https://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg
3-Mile Long Island Iced Tea,"Lemon, Bitters, Sweet and sour, Coca-Cola, Vodka, Triple sec, Tequila, Light rum, Gin, ",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg
410 Gone,"Coca-Cola, Peach Vodka, ",,https://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg
50/50,"Orange juice, Grand Marnier, Vanilla vodka, ",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,https://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg
501 Blue,"7-Up, Sour mix, Vodka, Blueberry schnapps, Blue Curacao, ",Mix equal amounts into a glass with ice.,https://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg
69 Special,"Lemon juice, 7-Up, Gin, ","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",https://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg
747,"Frangelico, Baileys irish cream, Kahlua, ","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",https://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg
747 Drink,"Sprite, Cranberry Juice, Roses sweetened lime juice, Vodka, ","Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries",https://www.thecocktaildb.com/images/media/drink/i9suxb1582474926.jpg
9 1/2 Weeks,"Orange juice, Strawberry liqueur, Orange Curacao, Absolut Citron, ",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,https://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg
A1,"Grenadine, Lemon Juice, Grand Marnier, Gin, ","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg
ABC,"Cognac, Baileys irish cream, Amaretto, ",Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg
Ace,"Egg White, Milk, Heavy cream, Grenadine, Gin, ",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/vaukir1606772580.jpg
Adam,"Grenadine, Lemon juice, Dark rum, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg
AT&T,"Tonic water, Gin, Absolut Vodka, ","Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg
ACID,"Wild Turkey, 151 proof rum, ",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg
A. J.,"Grapefruit juice, Applejack, ","Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg
Affair,"Club soda, Cranberry juice, Orange juice, Strawberry schnapps, ","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg
Avalon,"Lemonade, Lemon juice, Apple juice, Pisang Ambon, Vodka, ","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg
Abilene,"Orange juice, Peach nectar, Dark rum, ",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg
Almeria,"Egg white, Kahlua, Dark rum, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg
Addison,"Vermouth, Gin, ",Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg
Acapulco,"Mint, Egg white, Sugar, Lime juice, Triple sec, Light rum, ",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg
Affinity,"Orange bitters, Dry Vermouth, Sweet Vermouth, Scotch, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg
Applecar,"Lemon juice, Triple sec, Applejack, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg
Aviation,"maraschino liqueur, lemon juice, Gin, ",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg
Alexander,"Nutmeg, Light cream, Creme de Cacao, Gin, ",Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg
Algonquin,"Pineapple juice, Dry Vermouth, Blended whiskey, ","Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg
Allegheny,"Lemon peel, Lemon juice, Blackberry brandy, Bourbon, Dry Vermouth, ",Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg
Artillery,"Bitters, Gin, Sweet Vermouth, ","Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg
Autodafé,"Soda water, Lime juice, Vodka, ",Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg
Afternoon,"Cream, Coffee, Frangelico, Baileys irish cream, Kahlua, ","Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg
After sex,"Orange juice, Creme de Banane, Vodka, ",Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg
B-53,"Grand Marnier, Sambuca, Kahlua, ","Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg
B-52,"Kahlua, Grand Marnier, Baileys irish cream, ",Layer ingredients into a shot glass. Serve with a stirrer.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg
Bijou,"Sweet Vermouth, Gin, Green Chartreuse, Orange Bitters, ","Stir in mixing glass with ice and strain
",https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg
Boxcar,"Egg white, Grenadine, Lemon juice, Triple sec, Gin, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg
Big Red,"Goldschlager, Irish cream, ",Pour ingredients into 1 ounce shot glass,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg
Bellini,"Peach schnapps, Champagne, ","Pour peach purée into chilled flute, add sparkling wine. Stir gently.",https://www.thecocktaildb.com/images/media/drink/3h9wv51504389379.jpg
Bramble,"Creme de Mure, Sugar syrup, lemon juice, Gin, ","Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg
Balmoral,"Bitters, Dry Vermouth, Sweet Vermouth, Scotch, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg
Bluebird,"Lemon peel, Maraschino cherry, Bitters, Blue Curacao, Triple sec, Gin, ","In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg
Brooklyn,"Maraschino Cherry, Angostura Bitters, Maraschino Liqueur, Dry Vermouth, Rye Whiskey, ",Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg
Boomerang,"Maraschino cherry, Maraschino liqueur, Bitters, Dry Vermouth, Gin, ","In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg
Barracuda,"Prosecco, Lime Juice, Pineapple Juice, Galliano, Rum, ","Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg
Buccaneer,"Bacardi Limon, Corona, ",Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg
Brigadier,"Cherry Heering, Green Chartreuse, Hot Chocolate, ",Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg
Broadside,"Ice, Wormwood, Bitters, Scotch, 151 proof rum, ","Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg
Blackthorn,"Lemon peel, Sloe gin, Sweet Vermouth, ",Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/dgj92f1616098672.jpg
Bob Marley,"Goldschlager, Jägermeister, Midori melon liqueur, ",Layer in a 2 oz shot glass or pony glass,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg
Bubble Gum,"Peach schnapps, Orange juice, Banana liqueur, Vodka, ",Layer in order into a shot glass.,https://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg
Bible Belt,"Sour mix, Lime, Triple sec, Southern Comfort, ","Mix all ingredients, and pour over ice.",https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg
Brain Fart,"Rum, Lemon juice, Surge, Mountain Dew, Vodka, Everclear, ",Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg
Bloody Mary,"Lime, Tabasco sauce, Worcestershire sauce, Lemon juice, Tomato juice, Vodka, ","Stirring gently, pour all ingredients into highball glass. Garnish.",https://www.thecocktaildb.com/images/media/drink/t6caa21582485702.jpg
Blue Lagoon,"Cherry, Lemonade, Blue Curacao, Vodka, ","Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/5wm4zo1582579154.jpg
Boston Sour,"Cherry, Lemon, Egg white, Powdered sugar, Lemon, Blended whiskey, ","Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg
Brandy Flip,"Nutmeg, Light cream, Sugar, Egg, Brandy, ","In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.",https://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg
Casino,"Cherry, Orange bitters, Lemon juice, Maraschino liqueur, Gin, ",Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg
Caipirinha,"Cachaca, Lime, Sugar, ",Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg
Cherry Rum,"Light cream, Cherry brandy, Light rum, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg
Cuba Libre,"Coca-Cola, Lime, Light rum, ",Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/wmkbfj1606853905.jpg
Cuba Libra,"Ice, Coca-Cola, Lime, Dark rum, ",Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg
Cafe Savoy,"Brandy, Triple sec, Milk, Coffee, ","Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg
Cream Soda,"Ginger ale, Spiced rum, ",Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg
Corn n Oil,"blackstrap rum, Añejo rum, Angostura Bitters, Falernum, Lime, ","Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg
Casa Blanca,"Maraschino liqueur, Lime juice, Triple sec, Light rum, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg
